youth	青少年时期；青春，青年人
stolen	【过去分词】steal
steam	蒸汽；水蒸气【U，C】
step	脚步，台阶【C】走，跨步【vi】
stick	木棒，枝条【C】粘住，钉住；坚持 vi（stuck，stuck）
stuck	【过去式，过去分词】stick；被卡住的，被困住的adj
still	仍然，还adv；不动的，平静的adj
stocking	长筒袜【C】 -- 复数：stockings
stomachache	胃疼【C】
stone	石头，石料【C】
stop	停止；阻止vt；停；（停车）站【C】
stop doing something	停止做某事
stop to do something	停下来去做某事
at the bus stop	在公交车站
store	商店【C】；储藏，储存vt
a department store	百货商店
store the information	存储信息
storm	风暴，暴（风）雨（雪）【C】
story	故事，小说【C】--复数：stories
tell a story	讲个故事
straight	一直的，直的adj；一直地adv
go straight ahead	笔直地往前走
strange	奇怪的，奇特的；陌生的adj
stranger	陌生人 n
strawberry	草莓【C】复数：strawberries
street	街；街道【C】
stress	压力；紧张；强调【U，C】 --复数：stresses；加压力于；使紧张；强调 vt vi
suffer from stress	承受压力
cause stress	引起压力
deal with stress	应对压力
reduce stress	减轻压力
relieve stress	缓解压力
be under stress	承受压力
strict	严格的；严密的adj
be strict in something	对某事严格
be strict with somebody	对某人严格
strike	敲，打击，侵袭；（钟）鸣vt （struck，struck/stricken）
strong	强壮的；坚固的；强烈的；坚强的adj
strength	精力，体力
student	学生【C】
study	学习；研究vt；学习；研究；书房【C】
stupid	愚蠢的，笨的adj
style	风格；时尚；类型【U，C】
in style	流行；时髦
I like the clothes with a natural style	我喜欢民族风格的服装
subject	题目；主题；学科；主语；主体【C】
succeed	获得成功，达到目的vi
success	成功n【U，C】
successful	成功的adj
successfully	成功地adv
such	这样的，那样的adj；（泛指）人，事物pron
such as	例如
suddenly	突然地adv
sudden	突然的adj
suffer	受苦；遭受vi
suffer from	遭受
sugar	糖【U，C】
suggest	建议；提议vt
suggestion	建议；提议n【C】
suggest somebody do something	建议某人做某事
summer	夏天，夏季【U，C】
sun	太阳；阳光【C】
sunny	阳光充足的，晴朗的adj
in the sun	在阳光下
super	超级的；极好的；特级的adj == wonderful
supper	晚餐，晚饭【U，C】
support	支持；赞助【U】【vt】
suppose	猜想，假定，料想vi
sure	确信的，肯定的，有把握的adj（surer，surest）【近义词】certain 肯定的，确定的adj
surer	【比较级】sure
surest	【最高级】sure
be sure	确信
surface	表面【C】
on the surface	在表面
surprise	惊奇，诧异【U，C】；使惊奇，使诧异vt
surprised	感到惊奇的adj
surprising	令人惊奇的adj
survey	调查vt 【C】
survive	幸存，活下来；存活；生还vt vi
sweep	扫除，扫vt（swept，swept）
swept	【过去式，过去分词】sweep
sweet	甜的；可爱的adj；甜食；糖果【C】
swim	游泳vi（swam，swum）【n】
swam	【过去式】swim
swum	【过去分词】swim
go swimming	去游泳
symbol	符号；象征【C】
system	体系；系统【C】
table	桌子；表格【C】
time table	时刻表
take	拿；拿走；做；吃，服用；乘坐（车、船）；花费（时间）；拍照vt（took，taken）
talent	才能；天才【U，C】
to one's great joy	使某人非常高兴的是
talk	谈话，讲话，演讲；交谈【U，C】【vi】
tall	高的adj
tap	（自来水、煤气等的）龙头【C】
tape	磁带；录音带【C】
task	任务，工作【C】
taste	品尝，尝味vt；味道【U，C】
taxi	出租汽车【C】
tea	茶叶【U】
teach	教书，教vt vi（taught，taught）
teacher	教师n
team	队，组【C】
teamwork	合作，协作n
tear	眼泪【C】
technology	技术【U，C】
teenager	（13-19岁的）青少年，十几岁的少年【C】
telephone	打电话vt vi；电话；电话机【C】
television	电视【C】=TV
tell	告诉；讲述；吩咐vt（told，told）
tell somebody to do something	告诉某人做某事
tell somebody not to do something	告诉某人不要做某事
tell somebody about something	告诉某人（有关）某事，about可以省略
temperature	温度【U】
take one's temperature	测某人的体温
temple	庙宇，寺院【C】
tennis	网球【C】
play tennis	打网球
term	学期【C】
terrible	可怕的；糟糕的adj
terribly	非常，很adv
test	测试，考查，试验vt 【U，C】
text	文本，课本【U，C】
than	比conj
thank	感谢，致谢，道谢vt；感谢，谢意【C】
thankful	感谢的；感激的adj
that	那，那个adj，pron；引到宾语从句conj
theatre	（美theater）剧场，戏院【C】
then	当时，那时；然后，后来；那么（通常用于句首或句尾）
there	在那里，往那里；（作引导词)表"存在"adv
these	这些adj pron
thick	厚的，浓的adj ---反义：thin adj薄的；瘦的；细的
thin	薄的；瘦的；细的adj
thing	东西；事情【C】
think	想；思考；认为；考虑vt vi（thought，thought）
thought	思想，想法n【C】；【过去式，过去分词】think
thirsty	渴的adj
those	那些（that 的复数）adj pron
through	穿过，通过；从始至终prep
throughout	遍及；贯穿prep == in or into every part
throw	投，掷，扔vt（threw，thrown）
threw	【过去式】throw
thrown	【过去分词】throw
ticket	票；券【C】
tidy	整洁的，干净的adj（tidier，tidiest）
tie	领带，结【C】；（用绳，线）系，栓【vt】
tiger	老虎【C】
till	直到，直到。。。为止conj，prep；常用语口语与非正式书面语中代替until。
time	时间；时期；钟点【U】次，回【C】
in time	及时
on time	准时
at the same time	同时
at a time	一次
all the time	总是
for a long time	很长一段时间
enjoy your time	祝你玩得开心
it's time for...	是时候做。。。
it's time for somebody to do something	是某人该做某事的时候了。
tip	尖端；提示；小费，小窍门，建议【C】（建议==suggestion）
tired	疲劳的，累的adj
tiring	令人劳累的，累人的adj
be tired of	对。。。感到厌倦
title	标题，题目【C】
to	（表示接受动作的人或物）给。。。；对。。。，向。。。，到。。。【prep】
be friendly to somebody	对某人友好，友善 == be kind to somebody
the answer to the question	这个问题的答案（表示从属关系）
the key to the door	这扇门的钥匙
today	今天；现在，当前【U】【adv】
together	一起，共同adv
tomato	番茄【C】 复数：tomatoes
tomatoes	【复数】番茄
tomorrow	明天【U】【adv】
the day after tomorrow	后天
tonight	今晚，今夜【U】【adv】
too	也，还；又；太，过分；很，非常。出现在肯定句的结尾，表示"也"。否定句结尾需要表示"也"则用...either
tool	工具【C】
tooth	牙齿【C】--复数：teeth
toothache	牙痛【U，C】
top	顶部【C】，（物体的）上面；最上面的；居首位的adj
topic	题目，话题【C】
touch	触摸；接触；感动vi
tour	参观，观光，旅行【C】
tourist	游客，旅客，旅行者【C】
towards	向，朝，对于prep
tower	塔【C】
the Oriental Pearl TV Tower	东方明珠电视塔
town	城镇，城【C】
toy	玩具【C】--复数：toys
toys	【复数】toy
tradition	传统【U，C】
traditional	传统的adj
traditionally	传统地adv
traffic	交通【U】
traffic lights	红绿灯
train	火车【C】；培训，训练vt
translate	翻译vt
translation	翻译n
transport	运输，运送；输送vt；【n】
transportation	运输；交通；交通工具【U】 == transport
transportation costs	运费
travel	旅行【U】【vi】
tree	树【C】
trick	恶作剧；诡计，花招【C】
play a trick on somebody	戏耍某人
trip	旅行，旅程【C】
trouble	问题；烦恼；麻烦；困难【U，C】；使苦恼；使麻烦【vt】
in trouble	处于困境中
trousers	裤子，长裤【pl】
truck	卡车；货车n
true	真的，真实的adj
truth	真理；真相，实际情况n【U】
trust	信任，相信【U】【vt】
try	试；努力【C】；试图；努力【vt vi】
have a try	试一试
try on	试穿
try doing something	尝试做某事
try to do something	尽力做某事
try one's best to do something	尽某人最大努力做某事
turkey	火鸡【C】--复数：turkeys
turn	旋转；翻转；转弯；转变；变得【vt vi】（轮流的）顺序【C】
turn on	开，旋开（电灯，电视，收音机等）
turn down	（把音量）调低
turn up	（把音量）调高
turn into	变成
turn out	结果是；证明是
turn over	翻（车）；翻（页）；翻身
twice	两次；两倍adv
two	二，两个 num
twin	双胞胎之一【C】--复数：twins
type	类型【C】打字【Vt vi】
typist	打字员
umbrella	伞【C】
uncle	叔；伯；舅；姑夫；姨父【C】
under	在。。下面，向。。下面 adv prep
underground	地下的adj；地铁【C】== （美 subway）
by underground	乘地铁
underline	在。。。下划线；强调，使突出vt
underlined	带下划线的adj
understand	明白，懂得；理解vt（understood，understood）
understood	【过去式，过去分词】understand
unforgettable	难忘的adj
unfortunately	不幸地，遗憾地adv
uniform	制服【C】
in uniform	穿着制服的
school uniform	校服
unit	单元；单位；部件【C】
united	联合的；统一的adj
university	大学【C】 --复数：universities
at university	在上大学
go to university	去上大学
unless	如果不，除非conj（unless条件状语从句可以和if条件状语从句或祈使句，and/then/or+陈述句句型相互转换。
until	直到prep conj == till
not ... until	直到。。。才
unusual	不寻常的adj  --反义：usual 通常的，平常的adj
usually	通常；经常adv
up	向上；在上方；起来 adv；prep
upset	心烦的，难过的
upstairs	在楼上；到楼上adv
use	利用；使用；应用【U，C】；【vt】
useful	有用的；有益的adj
useless	无用的；无价值的adj
value	价值；价格；数值；价值观【U，C】给。。。估价；重视；珍惜【V】
traditional values	传统价值观
increase in value	升值 == rise/go up in value
decrease in value	贬值 == fall/go down in value
variety	种种，种类【C，U】--复数：varieties
various	各种各样的，不同的 adj
vegetable	蔬菜【C】
victory	胜利【U,C】--复数：victories
video	录像；视频【U，C】--复数：videos
view	看法，见解；风景，景色；视野【U，C】
village	村庄，乡村【C】
violin	小提琴【C】
play the violin	拉小提琴
visit	参观；访问；拜访【C】vt vi
visitor	参观者；访问者n【C】
an exchange visit	一次交流访问
pay a visit to	参观；访问
voice	嗓音【C】
volleyball	排球【C】
play volleyball	打排球
volunteer	志愿者【C】；自愿（做）；自愿提供【vt vi】
wait	等，等候【vt vi】
waiter	侍者，服务员n
waitress	女侍者，女服务员 -- 复数：waitresses
wait for	等待；等候
waitresses	【复数】waitress
wake	醒来，唤醒vt vi（woke，woken）
woke	【过去式】wake
woken	【过去分词】woken
wake up	醒来，叫醒
walk	步行；散步【C】 vi
want	要；想要；需要vt vi == would like（比want语气更委婉）
want to do something	想要做某事
want somebody to do something	想让某人做某事
war	战争【C】
warm	暖和的；热情的adj
warn	警告；告诫vt
warn somebody not to do something	警告某人不要做某事
wash	洗涤；洗vt
waste	浪费vt；浪费，废物；垃圾【U】
watch	手表；表【C】--复数：watches；观看，注视；当心【vt】
wave	波浪【C】；挥手，招手；挥动【vt vi】
in this way	这样
weak	弱的，差的，淡的adj
wealth	财产，财富【U】
wear	穿；戴vt（wore，worn）
weather	天气【U】
web	网状物，网【C】
The world Wide Web	互联网
website	网站【C】
week	星期【C】
weekday	工作日【C】
on weekdays	在工作日
weekend	周末【C】
at weekends	在周末
weigh	称。。。的重量；重 vt
weight	重量n【U】
welcome	欢迎【U】；受欢迎的adj；欢迎vt；int(即感叹词）
western	西方的adj
wet	潮湿的；多雨的adj（wetter,wettest)
what's more	而且
whether	是否
who	谁pron
whom	谁【宾格】
whose	谁的（所有格）
the whole world	全世界
why not do something	为什么不做某事（表示建议）
why don't you do something	为什么不做某事（表示建议）
how about doing something	为什么不做某事（表示建议）
what about doing something	为什么不做某事（表示建议）
widely	宽阔地；广泛地adv
widen	拓宽vt
wife	妻子【C】--复数：wives
wild	野生的，荒凉的adj
will	将，会；意愿；（提问）是否愿意；。。。好吗？；意志【C】
win	获胜；赢得vt vi（won，won）
won	【过去式，过去分词】win
winner	获胜者
win the first place	赢得第一名
windy	有风的，起风的adj --名词：wind
wine	葡萄酒【U】
wing	机翼；翅膀【C】
winter	冬天，冬季【C】
wisdom	智慧【U】
wise	明智的，聪明的adj
wish	愿望；祝愿【C】--复数：wishes；希望；想要；祝愿vt
agree with somebody	同意某人的意见
be angry with	生某人的气
be busy with something	忙于做某事  = be busy doing something
be careful with	小心
be connected to	与。。。有联系 == be connected with
be covered with	被。。。覆盖
be familiar with	对。。。熟悉；通晓 == be/get familiar to/with
be strict with	对。。。严格
communicate with	与。。。交流
compete with	与。。。竞争
deal with	处理
keep in touch with	与。。。保持联系
provide...with...	向。。。提供
shake hands with	与。。。握手
with great care	非常小心
with the help of	在。。。的帮助下
wolves	狼【复数】wolf
wonder	对。。。疑惑；想知道
wonderful	美好的，精彩的；太好了adj
wood	木头，木材;树林（复：woods）【U，C】
wooden	木质的adj
in other words	换句话说
in a word	总而言之
worker	工作者；工人
work as	从事。。。工作
worry	担心；烦恼vi；担忧【U，C】复数：worries
worry about	为。。。而担心
worth	有。。。的价值；值得。。。的adj
be worth doing something	值得做某事
would	愿意（will 的过去式）
would like to	想要（表示喜欢，愿意），很想；很愿意 == would love to
would rather	宁愿，宁可
wound	创伤，伤口【U，C】
wounded	受伤的adj
write	写；写作；写信（wrote，written）vt vi
writer	作家n
wrong	错误的；不正常的；有病的adj
year	年【C】
yellow	黄色的adj；黄色【U】
yesterday	昨天adv 【C】
the day before yesterday	前天
yet	尚，还，仍然adv
yogurt	酸奶【U】
young	年轻的adj
zero	零；零度；零点【C】
zoo	动物园【C】pl：zoos
zoos	复数zoo
